receivedAt,area,name,mode,scheduled,explicit_forecast,cancelled,trip_update_only,missing,ambiguous,unsupported,explicitPercent
2026-09-06T09:45:48.463688+00:00,nuremberg,Nürnberg,other,0,0,0,0,0,0,0,
2026-09-06T09:45:48.463688+00:00,essen,Essen,tram_metro,101,43,0,32,26,0,0,42.6
2026-09-06T09:45:48.463688+00:00,essen,Essen,bus,291,81,0,49,161,0,0,27.8
2026-09-06T09:45:48.463688+00:00,essen,Essen,suburban,14,10,0,4,0,0,0,71.4
2026-09-06T09:45:48.463688+00:00,essen,Essen,regional,17,12,0,4,1,0,0,70.6
2026-09-06T09:45:48.463688+00:00,essen,Essen,long_distance,1,1,0,0,0,0,0,100.0
2026-09-06T09:45:48.463688+00:00,essen,Essen,ferry,0,0,0,0,0,0,0,
2026-09-06T09:45:48.463688+00:00,essen,Essen,other,0,0,0,0,0,0,0,
2026-09-06T09:45:48.463688+00:00,kiel,Kiel,tram_metro,0,0,0,0,0,0,0,
2026-09-06T09:45:48.463688+00:00,kiel,Kiel,bus,111,54,0,32,25,0,0,48.6
2026-09-06T09:45:48.463688+00:00,kiel,Kiel,suburban,0,0,0,0,0,0,0,
2026-09-06T09:45:48.463688+00:00,kiel,Kiel,regional,14,10,0,4,0,0,0,71.4
2026-09-06T09:45:48.463688+00:00,kiel,Kiel,long_distance,0,0,0,0,0,0,0,
2026-09-06T09:45:48.463688+00:00,kiel,Kiel,ferry,8,0,0,0,8,0,0,0.0
2026-09-06T09:45:48.463688+00:00,kiel,Kiel,other,0,0,0,0,0,0,0,
2026-09-06T09:45:48.463688+00:00,schwerin,Schwerin,tram_metro,19,7,0,5,7,0,0,36.8
2026-09-06T09:45:48.463688+00:00,schwerin,Schwerin,bus,25,14,0,4,7,0,0,56.0
2026-09-06T09:45:48.463688+00:00,schwerin,Schwerin,suburban,0,0,0,0,0,0,0,
2026-09-06T09:45:48.463688+00:00,schwerin,Schwerin,regional,7,2,0,3,2,0,0,28.6
2026-09-06T09:45:48.463688+00:00,schwerin,Schwerin,long_distance,2,0,0,0,2,0,0,0.0
2026-09-06T09:45:48.463688+00:00,schwerin,Schwerin,ferry,0,0,0,0,0,0,0,
2026-09-06T09:45:48.463688+00:00,schwerin,Schwerin,other,0,0,0,0,0,0,0,
2026-09-06T09:45:48.463688+00:00,potsdam,Potsdam,tram_metro,30,30,0,0,0,0,0,100.0
2026-09-06T09:45:48.463688+00:00,potsdam,Potsdam,bus,117,60,0,0,57,0,0,51.3
2026-09-06T09:45:48.463688+00:00,potsdam,Potsdam,suburban,15,14,0,1,0,0,0,93.3
2026-09-06T09:45:48.463688+00:00,potsdam,Potsdam,regional,12,9,0,3,0,0,0,75.0
2026-09-06T09:45:48.463688+00:00,potsdam,Potsdam,long_distance,0,0,0,0,0,0,0,
2026-09-06T09:45:48.463688+00:00,potsdam,Potsdam,ferry,2,0,0,0,2,0,0,0.0
2026-09-06T09:45:48.463688+00:00,potsdam,Potsdam,other,0,0,0,0,0,0,0,
2026-09-06T09:45:48.463688+00:00,magdeburg,Magdeburg,tram_metro,54,29,0,25,0,0,0,53.7
2026-09-06T09:45:48.463688+00:00,magdeburg,Magdeburg,bus,61,24,0,16,21,0,0,39.3
2026-09-06T09:45:48.463688+00:00,magdeburg,Magdeburg,suburban,2,1,0,1,0,0,0,50.0
2026-09-06T09:45:48.463688+00:00,magdeburg,Magdeburg,regional,8,6,0,2,0,0,0,75.0
2026-09-06T09:45:48.463688+00:00,magdeburg,Magdeburg,long_distance,2,1,0,0,1,0,0,50.0
2026-09-06T09:45:48.463688+00:00,magdeburg,Magdeburg,ferry,38,0,0,2,36,0,0,0.0
2026-09-06T09:45:48.463688+00:00,magdeburg,Magdeburg,other,0,0,0,0,0,0,0,
